Fecha,Site,flow,Device,Loading,Shipping,Payments,Review,Congrats,missing,day_of_week,month,year,Shipping_ratio,Payments_ratio,Review_ratio,Congrats_ratio,TOTAL,input_on_Shipping,missing_on_Shipping,input_on_Payments,missing_on_Payments,input_on_Review,missing_on_Review,input_on_Congrats,missing_on_Congrats,anomaly
2019-03-08 00:00:00+00:00,MLA,direct,Desktop,114283,108905,94298,74356,72480,False,4,3,2019,0.953,0.866,0.789,0.975,0.6659999999999999,False,False,False,False,False,False,False,False,True
2019-03-08 00:00:00+00:00,MLA,direct,Mobile,75925,71967,56523,38341,36050,False,4,3,2019,0.948,0.785,0.6779999999999999,0.94,0.501,False,False,False,False,False,False,False,False,True
2019-03-08 00:00:00+00:00,MLA,direct,iOS,31933,29934,25493,19697,18437,False,4,3,2019,0.937,0.852,0.773,0.9359999999999999,0.616,False,False,False,False,False,False,False,False,False
2019-03-08 00:00:00+00:00,MLC,direct,Desktop,14452,14272,12056,9836,9294,False,4,3,2019,0.988,0.845,0.816,0.945,0.6509999999999999,False,False,False,False,False,False,False,False,False
2019-03-08 00:00:00+00:00,MLC,direct,Mobile,13501,13367,10042,7581,6661,False,4,3,2019,0.99,0.7509999999999999,0.755,0.879,0.498,False,False,False,False,False,False,False,False,False
2019-03-08 00:00:00+00:00,MLU,direct,Desktop,1696,1663,1430,1169,1131,False,4,3,2019,0.981,0.86,0.8170000000000001,0.9670000000000001,0.68,False,False,False,False,False,False,False,False,False
2019-03-08 00:00:00+00:00,MLU,direct,Mobile,2217,2163,1806,1455,1381,False,4,3,2019,0.976,0.835,0.8059999999999999,0.9490000000000001,0.638,False,False,False,False,False,False,False,False,True
2019-03-09 00:00:00+00:00,MLA,cart,Android,0,6595,4939,3639,3425,False,5,3,2019,0.0,0.7490000000000001,0.737,0.941,0.519,False,False,False,False,False,False,False,False,False
2019-03-09 00:00:00+00:00,MLA,cart,Desktop,0,3673,2889,2485,2428,False,5,3,2019,0.0,0.787,0.86,0.977,0.6609999999999999,False,False,False,False,False,False,False,False,False
2019-03-09 00:00:00+00:00,MLA,cart,Mobile,0,2424,1803,1243,1164,False,5,3,2019,0.0,0.7440000000000001,0.6890000000000001,0.9359999999999999,0.48,False,False,False,False,False,False,False,False,False
2019-03-09 00:00:00+00:00,MLA,cart,iOS,0,1071,779,613,561,False,5,3,2019,0.0,0.727,0.787,0.915,0.524,False,False,False,False,False,False,False,False,False
2019-03-09 00:00:00+00:00,MLA,direct,Android,152548,145008,116251,77668,72221,False,5,3,2019,0.951,0.802,0.6679999999999999,0.93,0.498,False,False,False,False,False,False,False,False,False
2019-03-09 00:00:00+00:00,MLA,direct,Desktop,65979,62629,53197,39357,38163,False,5,3,2019,0.9490000000000001,0.8490000000000001,0.74,0.97,0.609,False,False,False,False,False,False,False,False,False
2019-03-09 00:00:00+00:00,MLA,direct,Mobile,69397,65453,51084,33534,30990,False,5,3,2019,0.943,0.78,0.6559999999999999,0.924,0.473,False,False,False,False,False,False,False,False,False
2019-03-09 00:00:00+00:00,MLA,direct,iOS,26746,24886,20775,15138,14133,False,5,3,2019,0.93,0.835,0.7290000000000001,0.934,0.568,False,False,False,False,False,False,False,False,False
2019-03-09 00:00:00+00:00,MLC,direct,Desktop,8213,8120,6872,5635,5344,False,5,3,2019,0.9890000000000001,0.846,0.82,0.948,0.6579999999999999,False,False,False,False,False,False,False,False,False
2019-03-09 00:00:00+00:00,MLC,direct,Mobile,14315,14161,10574,7827,6809,False,5,3,2019,0.9890000000000001,0.747,0.74,0.87,0.48100000000000004,False,False,False,False,False,False,False,False,False
2019-03-09 00:00:00+00:00,MLU,direct,Desktop,829,819,705,573,567,False,5,3,2019,0.988,0.861,0.813,0.99,0.6920000000000001,False,False,False,False,False,False,False,False,False
2019-03-09 00:00:00+00:00,MLU,direct,Mobile,1738,1701,1415,1045,989,False,5,3,2019,0.9790000000000001,0.8320000000000001,0.7390000000000001,0.946,0.581,False,False,False,False,False,False,False,False,False
2019-03-10 00:00:00+00:00,MLA,cart,Android,0,6798,5018,3603,3348,False,6,3,2019,0.0,0.738,0.718,0.929,0.49200000000000005,False,False,False,False,False,False,False,False,False
2019-03-10 00:00:00+00:00,MLA,cart,Desktop,0,3405,2647,2282,2217,False,6,3,2019,0.0,0.777,0.862,0.972,0.6509999999999999,False,False,False,False,False,False,False,False,False
2019-03-10 00:00:00+00:00,MLA,cart,Mobile,0,2511,1897,1276,1213,False,6,3,2019,0.0,0.755,0.6729999999999999,0.951,0.483,False,False,False,False,False,False,False,False,False
2019-03-10 00:00:00+00:00,MLA,cart,iOS,0,1182,907,700,655,False,6,3,2019,0.0,0.767,0.772,0.9359999999999999,0.5539999999999999,False,False,False,False,False,False,False,False,False
2019-03-10 00:00:00+00:00,MLA,direct,Android,147254,139446,110206,71467,66497,False,6,3,2019,0.9470000000000001,0.79,0.648,0.93,0.47700000000000004,False,False,False,False,False,False,False,False,False
2019-03-10 00:00:00+00:00,MLA,direct,Desktop,60031,57036,48398,36054,34450,False,6,3,2019,0.95,0.8490000000000001,0.745,0.956,0.604,False,False,False,False,False,False,False,False,False
2019-03-10 00:00:00+00:00,MLA,direct,Mobile,69093,64706,49408,31654,28924,False,6,3,2019,0.937,0.764,0.6409999999999999,0.914,0.447,False,False,False,False,False,False,False,False,False
2019-03-10 00:00:00+00:00,MLA,direct,iOS,27120,25129,20725,14866,13804,False,6,3,2019,0.927,0.825,0.7170000000000001,0.929,0.5489999999999999,False,False,False,False,False,False,False,False,False
2019-03-10 00:00:00+00:00,MLC,direct,Desktop,9090,9001,7696,6338,5930,False,6,3,2019,0.99,0.855,0.8240000000000001,0.9359999999999999,0.659,False,False,False,False,False,False,False,False,False
2019-03-10 00:00:00+00:00,MLC,direct,Mobile,15061,14890,11121,8261,6996,False,6,3,2019,0.9890000000000001,0.747,0.743,0.847,0.47,False,False,False,False,False,False,False,False,False
